call_id,function_id,function_name,value_id,formal_parameter_position,actual_argument_position,argument_type,expression_type,value_type,default,dot_dot_dot,preforce,direct_force,direct_lookup_count,direct_metaprogram_count,indirect_force,indirect_lookup_count,indirect_metaprogram_count,S3_dispatch,S4_dispatch,forcing_actual_argument_position,non_local_return,execution_time,expression
629,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),455,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
629,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),456,1,1,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
629,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),457,2,2,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
629,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),458,3,3,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
629,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),459,4,4,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
629,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),460,5,5,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
629,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),461,6,6,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
629,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),462,7,7,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
636,TY1fycIl7NN9h006kMV+zg==,(base::exists),463,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
636,TY1fycIl7NN9h006kMV+zg==,(base::exists),464,1,1,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
